word;dict;goo;pt
availed;əˈveɪl;nan;nan
availing;əˈveɪl;nan;nan
avalanche; /ˈævəlæntʃ/;ˈavəˌlan(t)SH;avalanche
avalanche;ˈæv.əl.æntʃ;ˈavəˌlan(t)SH;avalanche
avarice;ˈæv.ɚ.ɪs;ˈavərəs;avareza
avaricious;ˌæv.əˈrɪʃ.əs;ˌavəˈriSHəs;avara(feminino)
avatar;ˈæv.ə.tɑːr;ˈavəˌtär;Avatar
ave;æv;ˈävā;AVE
avenge;əˈvendʒ;əˈvenj;vingar
avenged;əˈvendʒ;nan;nan
avenger;əˈven.dʒɚ;əˈvenjər;vingadora(feminino)
avenging;əˈvendʒ;nan;nan
avens;nan;ˈavənz;AVENS
avenue;ˈæv.ə.nuː;ˈavəˌn(y)o͞o;Avenida
aver;əˈvɝː;əˈvər;média
aver; /əˈvɜːr/;əˈvər;média
average;ˈæv.ɚ.ɪdʒ;ˈav(ə)rij;média
averaged;ˈæv.ər.ɪdʒ;nan;média
averagely;ˈæv.ɚ.ɪdʒ.li;nan;média
averaging;ˈævərɪdʒɪŋ;nan;média
averse;əˈvɝːs;əˈvərs;avessa(feminino)
aversion;əˈvɝː.ʒən;əˈvərZHən;aversão
aversive;əˈvɝː.sɪv;əˈvərsiv;aversivo
avert;əˈvɝːt;əˈvərt;evitar
averted;əˈvɜːt;nan;evitada(feminino)
averting;əˈvɜːt;nan;nan
avi;nan;ˈavē;Avi
avian;ˈeɪ.vi.ən;ˈāvēən;Avian
aviary;ˈeɪ.vi.er.i;ˈāvēˌerē;aviário
aviate;nan;ˈāvēˌāt;aviate
aviation;ˌeɪ.viˈeɪ.ʃən;ˌāvēˈāSH(ə)n;aviação
aviator;ˈeɪ.vi.eɪ.t̬ɚ;ˈāvēˌādər;aviadora(feminino)
avid;ˈæv.ɪd;ˈavəd;ávida(feminino)
avidity;əˈvɪd.ə.t̬i;əˈvidədē;avidez
avidly;ˈæv.ɪd.li;ˈavidlē;avidamente
avionics;ˌeɪ.viˈɑː.nɪks;ˌāvēˈäniks;aviônicos
avocado;ˌæv.əˈkɑː.doʊ;ˌavəˈkädō;abacate
avoid;əˈvɔɪd;əˈvoid;evitar
avoidable;əˈvɔɪ.də.bəl;əˈvoidəb(ə)l;evitável
avoidance;əˈvɔɪ.dəns;əˈvoidəns;evitar
avoided;əˈvɔɪd;nan;nan
avoiding;əˈvɔɪd;nan;nan
avoirdupois;ˌævwɑːdjuːˈpwɑː;ˌävərdəˈpoiz;Avoirdupois
avon;ˈeɪ.vən;nan;nan
avow;əˈvaʊ;əˈvou;confessar
avowal;əˈvaʊ.əl;nan;confissão
avowed;əˈvaʊd;əˈvoud;declarada(feminino)
avowedly;əˈvaʊ.ɪd.li;əˈvouədlē;declaradamente
avowing;əˈvaʊ;nan;nan
avulsion;əˈvʌl.ʃən;əˈvəlSHən;avulsão
avuncular;əˈvʌŋ.kjə.lɚ;əˈvəNGkyələr;avuncular
aw;ɔː;ô;aw
await;əˈweɪt;əˈwāt;aguardam
awaited;əˈweɪt;nan;nan
awaiting;əˈweɪt;nan;nan
awake; /əˈweɪk/;əˈwāk;acordada(feminino)
awake;əˈweɪk;əˈwāk;acordada(feminino)
awaken; /əˈweɪkən/;əˈwākən;despertar
awaken;əˈweɪ.kən;əˈwākən;despertar
awakened;əˈweɪ.kən;nan;nan
awakening;əˈweɪ.kən.ɪŋ;əˈwāk(ə)niNG;despertar
award;əˈwɔːrd;əˈwôrd;prêmio
awarded;əˈwɔːd;nan;concedida(feminino)
awarding;əˈwɔːr.dɪŋ;nan;ADMINISTRAÇÃO
awards;əˈwɔːrd;nan;nan
aware;əˈwer;əˈwer;consciente
awareness;əˈwer.nəs;əˈwernəs;conhecimento
awash;əˈwɑːʃ;əˈwôSH;inundada(feminino)
away;əˈweɪ;əˈwā;um jeito
awe;ɑː;ô;temor
awed;ɑːd;ôd;admiradas(feminino)
awesome;ˈɑː.səm;ˈôsəm;incrível
awesomely;ˈɑː.səm.li;ˈôsəmlē;incrivelmente
awesomeness;ˈɑː.səm.nəs;ˈôsəmnəs;Maravilha
awestruck;ˈɑː.strʌk;ˈôˌstrək;impressionada(feminino)
awful;ˈɑː.fəl;ˈôfəl;horrível
awfully;ˈɑː.fəl.i;ˈôf(ə)lē;muita(feminino)
awfulness;ˈɑː.fəl.nəs;ˈôfəlnəs;terrível
awhile;əˈwaɪl;əˈ(h)wīl;um tempo
awkward;ˈɑː.kwɚd;ˈôkwərd;desajeitada(feminino)
awkwardly;ˈɑː.kwɚd.li;ˈôkwərdlē;estranhamente
awkwardness;ˈɑː.kwɚd.nəs;ˈôkwərdnəs;constrangimento
awn;nan;ôn;awn
awning;ˈɑː.nɪŋ;ˈôniNG;toldo
awoke;əˈwoʊk;nan;acordou
awoken;əˈwoʊ.kən;nan;acordar
awry;əˈraɪ;əˈrī;errada(feminino)
axe;æks;aks;Machado
axed;æks;nan;Axado
axeman; /ˈæksmən/;ˈaksman;Axeman
axes;ˈæk.siːz;nan;machados
axial;ˈæk.si.əl;ˈaksēəl;axial
axillary;nan;akˈsilərē;axilar
axing;æks;nan;nan
axiom;ˈæk.si.əm;ˈaksēəm;axioma
axiomatic;ˌæk.si.əˈmæt̬.ɪk;nan;axiomática(feminino)
axiomatically;ˌæk.si.əˈmæt̬.ɪ.kəl.i;nan;axiomaticamente
axis;ˈæk.sɪs;ˈaksəs;eixo
axle;ˈæk.səl;ˈaksəl;eixo
axolotl;ˈæk.sə.lɑː.t̬əl;ˈaksəˌlädl;Axolotl
axon;ˈæk.sɑːn;ˈakˌsän;Axônio
aye;aɪ;ī;Sim
azalea;əˈzeɪ.li.ə;əˈzālyə;Azalea
azerbaijan;ˌɑː.zɚ.baɪˈdʒɑːn;nan;nan
azimuth;ˈæz.ɪ.məθ;ˈazəməTH;azimute
azure;ˈæʒ.ɚ;ˈaZHər;Azure
b;bi;nan;nan
ba;ˌbiːˈeɪ;bä;BA
baa;bæ;bä;baa
babble;ˈbæb.əl;ˈbabəl;balbuciando
babbled;ˈbæb.əl;nan;nan
babbler;nan;ˈbab(ə)lər;Babbler
babbling;ˈbæb.əl;nan;nan
babe;beɪb;bāb;bebê
babel;ˈbeɪ.bəl;ˈbāb(ə)l;Babel
babes;beɪb;nan;nan
babies;ˈbeɪ.bi;nan;nan
baboon;bəˈbuːn;baˈbo͞on;babuíno
baby;ˈbeɪ.bi;ˈbābē;bebê
babyhood;ˈbeɪ.bi.hʊd;nan;infância
babying;ˈbeɪ.bi;nan;nan
babyish;ˈbeɪ.bi.ɪʃ;nan;infantil
babysit;ˈbeɪ.bi.sɪt;ˈbābēˌsit;babá
babysitter;ˈbeɪ.biˌsɪt̬.ɚ;ˈbābēˌsidər;babá
babysitting;ˈbeɪ.biˌsɪt̬.ɪŋ;ˈbābēsidiNG;babá
baccarat; /ˌbækəˈrɑː/;ˈbäkərä;Baccarat
bach; /bætʃ/;nan;nan
bachelor;ˈbætʃ.əl.ɚ;ˈbaCH(ə)lər;Bacharel
bacillus;bəˈsɪl.əs;bəˈsiləs;bacilo
back;bæk;bak;de volta
backache;ˈbæk.eɪk;ˈbakˌāk;dor lombar
backbench;ˌbækˈbentʃ;ˈbakˌben(t)SH;Backbench
backbencher;ˌbækˈben.tʃɚ;ˈbakˌben(t)SHər;backbencher
backbone;ˈbæk.boʊn;ˈbakˌbōn;espinha dorsal
backchat;ˈbæk.tʃæt;nan;conversa de fundo
backdate;ˈbæk.deɪt;ˈbakˌdāt;Backdate
backdated;ˌbækˈdeɪt;nan;datada(feminino)
backdrop;ˈbæk.drɑːp;ˈbakˌdräp;pano de fundo
backed;-bækt;nan;nan
backer;ˈbæk.ɚ;ˈbakər;Backer
backfire;ˌbækˈfaɪr;ˈbakˌfī(ə)r;Fogo da culatra
backfired;ˌbækˈfaɪər;nan;saiu pela culatra
backfiring;ˌbækˈfaɪər;nan;nan
backgammon; /ˈbækɡæmən/;ˈbakˌɡamən;gamão
background; /ˈbækɡraʊnd/;ˈbakˌɡround;fundo
background;ˈbæk.ɡraʊnd;ˈbakˌɡround;fundo
backgrounds;ˈbæk.ɡraʊnd;nan;nan
backhand; /ˈbækhænd/;ˈbakˌhand;backhand
backing;ˈbæk.ɪŋ;ˈbakiNG;apoio
backlash;ˈbæk.læʃ;ˈbakˌlaSH;retaliação
backless;ˈbæk.ləs;ˈbakləs;sem encosto
backlight; /ˈbæklaɪt/;ˈbakˌlīt;luz de fundo
backlit;ˈbæk.lɪt;nan;iluminada(feminino)
backlog;ˈbæk.lɑːɡ;ˈbakˌlôɡ;Backlog
backpack;ˈbæk.pæk;ˈbakˌpak;mochila
backpacker;ˈbæk.pæk.ɚ;ˈbakpakər;Backpacker
backpacking;ˈbækˌpæk.ɪŋ;nan;mochilão
backpedal;ˈbækˌped.əl;ˈbakˌpedl;recuar
backrest; /ˈbækrest/;ˈbakˌrest;backrest
backseat;ˈbækˈsit;nan;banco de trás
backside;ˈbæk.saɪd;ˈbakˌsīd;traseira(feminino)
backslapping;ˈbækˌslæp.ɪŋ;ˈbakˌslapiNG;retrocesso
backslash;ˈbæk.slæʃ;ˈbakˌslaSH;barragem
backspace;ˈbæk.speɪs;ˈbakˌspās;backspace
backspace; /ˈbækspeɪs/;ˈbakˌspās;backspace
backstabbing;ˈbækˌstæb.ɪŋ;ˈbakˌstabiNG;pista de volta
backstage;bækˈsteɪdʒ;bakˈstāj;nos bastidores
backstairs; /ˈbæksterz/;ˈbakˌsterz;tola de backs
backstreet;ˈbæk.striːt;ˈbakstrēt;rua de trás
backstreets;ˈbæk.striːts;nan;Voltas de volta
backstroke;ˈbæk.stroʊk;ˈbakˌstrōk;Backstroke
backtrack;ˈbæk.træk;ˈbakˌtrak;retroceder
backtracked;ˈbæk.træk;nan;nan
backtracking;ˈbæk.træk;nan;nan
backup;ˈbæk.ʌp;ˈbakˌəp;cópia de segurança
backward;ˈbæk.wɚd;ˈbakwərd;para trás
backwardness;ˈbæk.wɚd.nəs;ˈbakwərdnəs;atraso
backwards;ˈbæk.wədz;nan;para trás
backwash;ˈbæk.wɑːʃ;ˈbakˌwôSH;Aproveite
backwater;ˈbæk.wɑː.t̬ɚ;ˈbakˌwôdər;água de trás
backyard;ˌbækˈjɑːrd;ˌbakˈyärd;quintal
bacon;ˈbeɪ.kən;ˈbākən;bacon
bacteria;bækˈtɪr.i.ə;nan;bactérias
bacterial;bækˈtɪr.i.əl;bakˈtirēəl;bacteriano
bacteriological;bækˌtɪr.i.əˈlɑː.dʒɪ.kəl;bakˌtirēəˈläjək(ə)l;bacteriológica(feminino)
bacteriologist;bækˌtɪr.iˈɑː.lə.dʒɪst;nan;bacteriologista
bacteriology;bækˌtɪr.iˈɑː.lə.dʒi;bakˌtirēˈäləjē;bacteriologia
bacteriophage;bækˈtɪr.i.ə.feɪdʒ;bakˈtirēəˌfāj;bacteriófago
bacterium;bækˈtɪr.i.əm;ˌbakˈtirēəm;bactéria
bad;bæd;bad;má(feminino)
baddy;ˈbæd.i;nan;Baddy
bade;bæd;nan;Bade
badge;bædʒ;baj;distintivo
badged;bædʒd;nan;introduzida(feminino)
badger;ˈbædʒ.ɚ;ˈbajər;texugo
badgered;ˈbædʒ.ər;ˈbajər;incorporada(feminino)
badgering;ˈbædʒ.ər;nan;nan
badinage;ˈbæd.ɪ.nɑːʒ;ˌbadnˈäZH;Badinage
badlands;ˈbæd.lændz;ˈbadˌlandz;erma(feminino)
badly;ˈbæd.li;ˈbadlē;seriamente
badminton;ˈbæd.mɪn.tən;ˈbadmin(t)n;badminton
badness;ˈbæd.nəs;ˈbadnəs;maldade
baffle;ˈbæf.əl;ˈbafəl;Deflendo
baffled;ˈbæf.əl;nan;nan
bafflement;ˈbæf.əl.mənt;nan;confusa(feminino)
baffling;ˈbæf.lɪŋ;ˈbaf(ə)liNG;desconcertante
bag; /bæɡ/;baɡ;sacola
bag;bæɡ;baɡ;sacola
bagatelle;ˌbæɡ.əˈtel;ˌbaɡəˈtel;bagatela
bagful;ˈbæɡ.fʊl;nan;Bagful
baggage;ˈbæɡ.ɪdʒ;ˈbaɡij;Bagagem
baggages;nan;ˈbaɡij;Baggages
bagger;ˈbæɡ.ɚ;nan;Bagger
baggy;ˈbæɡ.i;ˈbaɡē;folgada(feminino)
bagman;ˈbæɡ.mæn;nan;Bagman
bagpipe;ˈbæɡ.paɪp;ˈbaɡpīp;Bagpipe
bagpipes;ˈbæɡ.paɪps;nan;gaita de fole
bags;bæɡ;nan;nan
baguette;bæɡˈet;baˈɡet;baguete
bah;bɑː;bä;bah
bahamas;bəˈhɑː.məz;nan;nan
bahrain;bɑːˈreɪn;nan;nan
bail;beɪl;bāl;fiança
bailed;beɪl;nan;nan
bailey;ˈbeɪ.li;ˈbālē;Bailey
bailiff;ˈbeɪ.lɪf;nan;Jaxiliff
bailing;beɪl;nan;nan
bailiwick;ˈbeɪ.li.wɪk;ˈbāləˌwik;Bailiwick
bailout;ˈbeɪl.aʊt;ˈbāˌlout;resgate
bails;beɪlz;nan;Bails
bait;beɪt;bāt;isca
bait; /beɪt/;bāt;isca
baited;beɪt;nan;nan
bake; /beɪk/;bāk;assar
bake;beɪk;bāk;assar
baked;beɪk;nan;nan
bakehouse; /ˈbeɪkhaʊs/;ˈbākˌhous;padaria
baker;ˈbeɪ.kɚ;ˈbākər;padeira(feminino)
bakery;ˈbeɪ.kɚ.i;ˈbāk(ə)rē;padaria
baking;ˈbeɪ.kɪŋ;nan;cozimento
baklavas;nan;ˌbäkləˈvä;Baklavas
balaclava;ˌbæl.əˈklɑː.və;nan;Balaclava
balalaika;ˌbæl.əˈlaɪ.kə;ˌbaləˈlīkə;Balalaika
balance;ˈbæl.əns;ˈbaləns;Saldo
balanced;ˈbæl.ənst;ˈbalənst;equilibrada(feminino)
balancing;ˈbæl.əns;nan;nan
balcony;ˈbæl.kə.ni;ˈbalkənē;sacada(feminino)
bald;bɑːld;bôld;Careca
balderdash;ˈbɑːl.dɚ.dæʃ;ˈbôldərˌdaSH;Balderdash
balding;ˈbɑːl.dɪŋ;ˈbôldiNG;Palding
baldly;ˈbɑːld.li;ˈbôldlē;Baluamente
baldness;ˈbɑːld.nəs;ˈbôldnəs;calvície
baldy;ˈbɑːl.di;nan;Careca
bale;beɪl;bāl;fardo
baled;beɪl;nan;nan
baleen;bəˈliːn;bəˈlēn;Baleen
baleful;ˈbeɪl.fəl;ˈbālfəl;Baleful
balefully;ˈbeɪl.fəl.i;nan;balosamente
baling;beɪl;nan;nan
ball;bɑːl;bôl;bola
ballad;ˈbæl.əd;ˈbaləd;balada
ballade;bælˈɑːd;bəˈläd;balada
ballast; /ˈbæləst/;ˈbaləst;lastro
ballast;ˈbæl.əst;ˈbaləst;lastro
ballbearing;nan;bôl ˈberiNG;rolamento de esfera
ballerina;ˌbæl.əˈriː.nə;ˌbaləˈrēnə;bailarina
ballet;bælˈeɪ;baˈlā;Balé
balletic;bəˈlet̬.ɪk;baˈledik;balético
ballistic;bəˈlɪs.tɪk;bəˈlistik;balística(feminino)
ballistics;bəˈlɪs.tɪks;bəˈlistiks;balística(feminino)
balloon;bəˈluːn;bəˈlo͞on;balão
ballooned;bəˈluːn;nan;nan
ballooning;bəˈluːn;nan;nan
balloonist;bəˈluː.nɪst;bəˈlo͞onəst;balonista
ballot;ˈbæl.ət;ˈbalət;voto
balloted;ˈbæl.ət;nan;nan
balloting;ˈbæl.ət;nan;nan
ballroom;ˈbɑːl.ruːm;ˈbôlˌro͞om;salão de baile
balls;bɑːlz;nan;bolas
ballyhoo;ˌbæl.iˈhuː;ˈbalēˌho͞o;Ballyhoo
balm;bɑːm;bä(l)m;bálsamo
balmoral; /bælˈmɔːrəl/;ˌbalˈmôrəl;Balmoral
balmy;ˈbɑː.mi;ˈbä(l)mē;Balmy
baloney;bəˈloʊ.ni;bəˈlōnē;BALONEY
balsam;ˈbɑːl.səm;ˈbôlsəm;bálsamo
baltimore;ˈbɔːl.tə.mɔːr;nan;nan
baluster; /ˈbæləstər/;ˈbaləstər;Baluster
balustrade;ˈbæl.ə.streɪd;baləˈstrād;balaustrada
bambino;nan;bamˈbēnō;bambina(feminino)
bamboo;bæmˈbuː;bamˈbo͞o;bambu
bamboozle;bæmˈbuː.zəl;bamˈbo͞ozəl;enganar
bamboozled;bæmˈbuː.zəl;nan;nan
ban;bæn;ban;banimento
ban; /bæn/;ban;banimento
banal;bəˈnɑːl;bəˈnäl;banal
banality;bəˈnɑː.lə.t̬i;bəˈnalədē;banalidade
banana;bəˈnæn.ə;bəˈnanə;banana
bananas;bəˈnæn.əz;nan;bananas
band;bænd;band;banda
bandage;ˈbæn.dɪdʒ;ˈbandij;curativa(feminino)
bandaged;ˈbæn.dɪdʒ;nan;nan
bandaging;ˈbæn.dɪdʒ;nan;nan
bandanna;bænˈdæn.ə;banˈdanə;bandana
bandit;ˈbæn.dɪt;ˈbandit;bandido
banditry; /ˈbændɪtri/;nan;nan
bandpass;nan;ˈbandpas;passa -banda
bands;bænd;nan;nan
bandstand;ˈbænd.stænd;ˈban(d)stand;coreto
bandwagon;ˈbændˌwæɡ.ən;ˈbandˌwaɡən;onda
bandwidth;ˈbænd.wɪtθ;ˈbandˌwidTH;largura de banda
bane;beɪn;bān;Bane
bang;bæŋ;baNG;Bang
banged;bæŋ;nan;nan
banger;ˈbæŋ.ɚ;ˈbaNGər;Banger
banging;ˈbæŋ.ɪŋ;ˈbaNGiNG;batendo
bangkok;bæŋˈkɑːk;nan;nan
bangladesh;ˌbæŋ.ɡləˈdeʃ;nan;nan
bangle;ˈbæŋ.ɡəl;ˈbaNGɡəl;pulseira
bangs;bæŋz;nan;franja
banish;ˈbæn.ɪʃ;ˈbaniSH;banir
banished;ˈbæn.ɪʃ;nan;nan
banishing;ˈbæn.ɪʃ;nan;nan
banishment;ˈbæn.ɪʃ.mənt;ˈbaniSHmənt;banimento
banister;ˈbæn.ə.stɚ;ˈbanəstər;Banister
banjo;ˈbæn.dʒoʊ;ˈbanjō;banjo
bank;bæŋk;baNGk;banco
bankable;ˈbæŋ.kə.bəl;ˈbaNGkəbəl;Bankable
banked;bæŋk;nan;nan
banker;ˈbæŋ.kɚ;ˈbaNGkər;banqueira(feminino)
banking;ˈbæŋ.kɪŋ;ˈbaNGkiNG;bancária(feminino)
banknote;ˈbæŋk.noʊt;ˈbaNGkˌnōt;NOTA
bankrupt;ˈbæŋ.krʌpt;ˈbaNGkˌrəpt;falida(feminino)
bankruptcy;ˈbæŋ.krəpt.si;ˈbaNGkˌrəp(t)sē;falência
bankrupted;ˈbæŋ.krʌpt;nan;nan
bankrupting;ˈbæŋ.krʌpt;nan;nan
banks;bæŋk;nan;nan
banner;ˈbæn.ɚ;ˈbanər;bandeira
banners;ˈbæn.ɚ;nan;nan
bannister;ˈbæn.ə.stɚ;nan;Bannister
banns;bænz;banz;Banns
banquet;ˈbæŋ.kwət;ˈbaNGkwit;banquete
banqueting;ˈbæŋ.kwə.t̬ɪŋ;nan;banquetes
banshee;ˈbæn.ʃiː;ˈbanSHē;alma penada
bantam;ˈbæn.t̬əm;ˈban(t)əm;Bantam
bantamweight;ˈbæn.t̬əm.weɪt;ˈban(t)əmˌwāt;PESTÃO BANTAMW
banter;ˈbæn.t̬ɚ;ˈban(t)ər;brincadeiras
bantered;ˈbæn.tər;ˈban(t)ər;brincou
bantering;ˈbæn.t̬ɚ.ɪŋ;ˈban(t)əriNG;brincando
baobab;ˈbeɪ.oʊ.bæb;ˈbāōˌbab;Baobab
bap;bæp;nan;bap
baptism;ˈbæp.tɪ.zəm;ˈbapˌtizəm;batismo
baptismal;bæpˈtɪz.məl;bapˈtizm(ə)l;batismal
baptist;ˈbæp.tɪst;ˈbaptəst;batista
bar;bɑːr;bär;bar
barb;bɑːrb;bärb;Barb
barbados;bɑːrˈbeɪ.doʊs;nan;nan
barbarian;bɑːrˈber.i.ən;ˌbärˈberēən;bárbara(feminino)
barbaric;bɑːrˈber.ɪk;bärˈberik;bárbara(feminino)
barbarically;bɑːrˈber.ɪ.kəl.i;nan;Barbaricamente
barbarism;ˈbɑːr.bɚ.ɪ.zəm;ˈbärbəˌrizəm;barbárie
barbarity;bɑːrˈber.ə.t̬i;ˌbärˈberədē;barbárie
barbarous;ˈbɑːr.bɚ.əs;ˈbärbərəs;bárbara(feminino)
barbarously; /ˈbɑːrbərəsli/;nan;nan
barbecue;ˈbɑːr.bə.kjuː;ˈbärbəˌkyo͞o;churrasco
barbed;bɑːrbd;bärbd;farpada(feminino)
barbell;ˈbɑːr.bel;ˈbärˌbel;Barbell
barbels;nan;ˈbärbəl;Barbéis
barber;ˈbɑːr.bɚ;ˈbärbər;barbeira(feminino)
barbie;ˈbɑːr.bə.kjuː;ˈbärbē;Barbie
barbiturate;bɑːˈbɪtʃ.ər.ət;bärˈbiCHərət;barbiturato
barcelona;ˌbɑːr.səˈloʊ.nə;nan;nan
bard;bɑːrd;bärd;barda(feminino)
bare;ber;ber;nu
bareback;ˈber.bæk;ˈberbak;bareback
bared;beər;nan;descoberta(feminino)
barefaced;ˈber.feɪst;ˈberˌfāst;Descarra
barefoot;ˈber.fʊt;ˈberfo͝ot;pés descalços
barely;ˈber.li;ˈberlē;por muito pouco
bareness; /ˈbernəs/;nan;nan
bargain;ˈbɑːr.ɡɪn;ˈbärɡən;barganha
bargained;ˈbɑː.ɡɪn;nan;negociada(feminino)
bargaining;ˈbɑːɡɪnɪŋ;nan;de barganha
bargains;ˈbɑːr.ɡɪn;nan;nan
barge;bɑːrdʒ;bärj;barcaça
barged;bɑːdʒ;nan;caída(feminino)
bargepole;ˈbɑːrdʒ.poʊl;nan;barragem
barging;bɑːdʒ;nan;nan
baring;beər;nan;nan
baritone;ˈber.ə.toʊn;ˈberəˌtōn;barítono
barium;ˈber.i.əm;ˈberēəm;bário
bark;bɑːrk;bärk;latido
barked;bɑːk;bärkt;latida(feminino)
barker;ˈbɑːr.kɚ;ˈbärkər;Barker
barking;ˈbɑːr.kɪŋ;nan;Latidos
barley;ˈbɑːr.li;ˈbärlē;cevada
barleycorn;nan;ˈbärlēˌkôrn;Cezeira
barmaid;ˈbɑːr.meɪd;nan;garçonete
barman;ˈbɑːr.mən;nan;Barman
barn;bɑːrn;bärn;celeiro
barnacle;ˈbɑːr.nə.kəl;ˈbärnək(ə)l;Barnacle
barnstorming;ˈbɑːrnˌstɔːr.mɪŋ;nan;Barnstorming
barnyard;ˈbɑːrn.jɑːrd;ˈbärnˌyärd;Barnyard
barometer;bəˈrɑː.mə.t̬ɚ;bəˈrämədər;barômetro
barometric;ˌber.oʊˈmet.rɪk;nan;barométrico
baron;ˈber.ən;ˈberən;barão
baronage;nan;ˈberənij;baronato
baroness;ˈber.ən.es;ˈberənəs;baronesa
baronet;ˈber.ən.et;ˈberənət;baronete
baronial;bəˈroʊ.ni.əl;bəˈrōnēəl;baronial
barony;ˈber.ən.i;ˈberənē;Barony
baroque;bəˈrɑːk;bəˈrōk;barroca(feminino)
barrack;ˈber.ək;ˈberək;quartel
barracking;ˈber.ə.kɪŋ;nan;quartel
barracks;ˈber.əks;ˈberəks;quartéis
barracuda;ˌber.əˈkuː.də;ˌberəˈko͞odə;Barracuda
barrage;bəˈrɑːʒ;bəˈrä(d)ZH;barragem
barre;bɑːr;bär;Barre
barred;bɑːrd;bärd;barrado
barrel; /ˈbærəl/;ˈberəl;barril
barrel;ˈber.əl;ˈberəl;barril
barren;ˈber.ən;ˈberən;estéril
barrenness;ˈber.ən.nəs;nan;esterilidade
barricade;ˈber.ə.keɪd;ˈberəˌkād;barricada
barricaded;ˈbær.ɪ.keɪd;nan;barricada(feminino)
barrier;ˈber.i.ɚ;ˈberēər;barreira
barriers;ˈber.i.ɚ;nan;nan
barring;ˈbɑːr.ɪŋ;ˈbäriNG;barrando
barrister;ˈber.ə.stɚ;nan;advogada(feminino)
barrow;ˈber.oʊ;ˈberō;Barrow
barry;nan;ˈbärē;Barry
bars;bɑːr;nan;nan
bart; /bɑːrt/;nan;nan
bartender;ˈbɑːrˌten.dɚ;ˈbärˌtendər;barwoman(feminino)
barter;ˈbɑːr.t̬ɚ;ˈbärdər;troca
bartered;ˈbɑː.tər;nan;troca
bartering;ˈbɑː.tər;nan;nan
basal;ˈbeɪ.səl;ˈbāsəl;basal
basalt;ˈbæs.ɑːlt;bəˈsôlt;basalto
basaltic;bəˈsɑːl.tɪk;nan;basáltica(feminino)
base;beɪs;bās;base
baseball;ˈbeɪs.bɑːl;ˈbāsˌbôl;beisebol
based;-beɪst;nan;nan
baseless;ˈbeɪs.ləs;ˈbāsləs;infundada(feminino)
baseline;ˈbeɪs.laɪn;ˈbāsˌlīn;linha de base
basely;ˈbeɪs.li;nan;basicamente
basement;ˈbeɪs.mənt;ˈbāsmənt;porão
baseness;ˈbeɪs.nəs;ˈbāsnis;baixeza
bases;ˈbeɪ.sɪz;ˈbāsēz;bases
bash;bæʃ;baSH;Bash
bashed;bæʃ;nan;nan
bashful;ˈbæʃ.fəl;ˈbaSHfəl;Bashful
bashfully;ˈbæʃ.fəl.i;nan;bashly
bashfulness;ˈbæʃ.fəl.nəs;nan;Bashfulness
bashing;ˈbæʃ.ɪŋ;ˈbaSHiNG;atacando
basic;ˈbeɪ.sɪk;ˈbāsik;básica(feminino)
basically;ˈbeɪ.sɪ.kəl.i;ˈbāsik(ə)lē;basicamente
basics;ˈbeɪ.sɪks;nan;Fundamentos
basify;nan;ˈbāsəˌfī;basify
basil;ˈbeɪ.zəl;ˈbāzəl;manjericão
basilica;bəˈsɪl.ɪ.kə;bəˈsiləkə;basílica
basilisk;ˈbæz.ə.lɪsk;ˈbasəˌlisk;Basilisco
basin;ˈbeɪ.sən;ˈbās(ə)n;bacia
basing;beɪs;nan;nan
basis;ˈbeɪ.sɪs;ˈbāsəs;base
bask;bæsk;bask;Bask
basked;bɑːsk;nan;se deliciou
basket;ˈbæs.kət;ˈbaskət;cesta
basketball;ˈbæs.kət.bɑːl;ˈbaskətˌbôl;basquetebol
basketful;ˈbæs.kət.fʊl;nan;cesto
baskets;ˈbæs.kət;nan;nan
basking;bɑːsk;nan;nan
basque;bæsk;bask;basca(feminino)
bass;beɪs;bās;graves
bassist;ˈbeɪ.sɪst;ˈbāsəst;baixista
bassoon;bəˈsuːn;bəˈso͞on;fagote
bastard;ˈbæs.tɚd;ˈbastərd;desgraçada(feminino)
baste;beɪst;bāst;Baste
basted;beɪst;nan;nan
basting;beɪst;nan;nan
bastion;ˈbæs.ti.ən;ˈbasCH(ə)n;bastião
bat; /bæt/;bat;bastão
bat;bæt;bat;bastão
batch;bætʃ;baCH;lote
bate;nan;bāt;Bate
bated;ˈbeɪ.t̬ɪd;nan;Bated
bath;bæθ;baTH;banho
bathe;beɪð;bāT͟H;banho
bathed;beɪð;nan;banhado
bather;ˈbeɪ.ðɚ;nan;banhista
bathetic;nan;bəˈTHedik;Batético
bathhouse;ˈbæθ.haʊs;ˈbaTHˌhous;balneário
bathing;ˈbeɪ.ðɪŋ;nan;tomando banho
bathos;ˈbeɪ.θɑːs;ˈbāTHäs;Bathos
bathrobe;ˈbæθ.roʊb;ˈbaTHˌrōb;roupão de banho
bathroom;ˈbæθ.ruːm;ˈbaTHˌro͞om;banheiro
bathrooms;ˈbæθ.ruːm;nan;nan
baths;bæθ;nan;nan
bathtub;ˈbæθ.tʌb;nan;banheira
bathwater;ˈbæθ.wɑː.t̬ɚ;nan;água do banho
batik; /bəˈtiːk/;bəˈtēk;Batik
batik;bætˈiːk;bəˈtēk;Batik
batman;ˈbæt.mən;ˈbatmən;homem Morcego
baton;bəˈtɑːn;bəˈtän;bastão
batsman;ˈbæt.smən;ˈbatsmən;batedor
