	Products of agriculture, hunting and related services	Products of forestry, logging and related services	Fish and other fishing products; aquaculture products; support services to fishing	Mining and quarrying	Food products; beverages; tobacco products 	Textiles; wearing apparel; leather and related products	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	Paper and paper products	Printing and recording services	Coke and refined petroleum products	Chemicals and chemical products	Basic pharmaceutical products and pharmaceutical preparations	Rubber and plastics products	Other non-metallic mineral products	Basic metals	Fabricated metal products, except machinery and equipment	Computer, electronic and optical products	Electrical equipment	Machinery and equipment n.e.c.	Motor vehicles, trailers and semi-trailers	Other transport equipment	Furniture; other manufactured goods	Repair and installation services of machinery and equipment	Electricity, gas, steam and air conditioning	Natural water; water treatment and supply services	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services 	Constructions and construction works	Wholesale and retail trade and repair services of motor vehicles and motorcycles	Wholesale trade services, except of motor vehicles and motorcycles	Retail trade services, except of motor vehicles and motorcycles	Land transport services and transport services via pipelines	Water transport services	Air transport services	Warehousing and support services for transportation	Postal and courier services	Accommodation and food services	Publishing services	Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services	Telecommunications services	Computer programming, consultancy and related services; information services	Financial services, except insurance and pension funding	Insurance, reinsurance and pension funding services, except compulsory social security	Services auxiliary to financial services and insurance services	Real estate services	Imputed rents of owner-occupied dwellings	Legal and accounting services; services of head offices; management consulting services	Architectural and engineering services; technical testing and analysis services	Scientific research and development services	Advertising and market research services	Other professional, scientific and technical services; veterinary services	Rental and leasing services	Employment services	Travel agency, tour operator and other reservation services and related services	Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services	Public administration and defence services; compulsory social security services	Education services	Human health services	Residential care services; social work services without accommodation	Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services	Sporting services and amusement and recreation services	Services furnished by membership organisations	Repair services of computers and personal and household goods	Other personal services	Services of households as employers; undifferentiated goods and services produced by households for own use	Services provided by extraterritorial organisations and bodies
21. Other transport equipment	0.00128505524574832	0.000752970371502033	0.00831399897194573	0.00459735419980922	0.00185485045198302	0.00112133167637422	0.00379872426550711	0.0029014740683963	0.00256131530825772	0.00425351254236319	0.00253080939183736	0.00159689159660673	0.00242913133026556	0.0027810895935991	0.00380667766698477	0.00318827161270236	0.00644019401906453	0.00571940036626788	0.00431230578674424	0.00334843939029167	1.39403904194426	0.0024434007427724	0.0645729617874011	0.00269932841976948	0.00268175863120025	0.00198101673039493	0.00276722651481432	0.00287698640731271	0.00201504024163123	0.00119625602637887	0.00499128460434359	0.00574433420808615	0.0555575927919523	0.0072303637656439	0.00210751774516604	0.00146886432673124	0.00212908919562041	0.0020942314223384	0.00270487097776524	0.00264243028209576	0.00163311859511898	0.00168238187522481	0.00189473869736951	0.00082701002481697	0	0.00111513220809795	0.0293486936315276	0.0100894510750212	0.00348345247635874	0.00128023120230376	0.00755653124621836	0.000667599347923386	0.00602878939597041	0.0021255453010104	0.00171617014285551	0.00101463549489671	0.000793686670893372	0.000863775653967356	0.00139955664671522	0.00378519387484921	0.00267242310423557	0.0018314847528264	0.000897024175169897	0	0
22. Furniture; other manufactured goods	0.00161148603591462	0.000528023810934089	0.00716958211370185	0.00371290747304154	0.00222291649913752	0.00732844841493442	0.00435638900748849	0.00283076292932141	0.00255367829156319	0.00359974981491484	0.00280719049602978	0.00531871706867838	0.00312444736520202	0.00312431165789402	0.00428653341357959	0.00468204113408069	0.00324066191162128	0.00423977763545071	0.00875087062547405	0.0326497069324174	0.00554243423020516	1.06384791185187	0.00786956870212864	0.00727581984976824	0.00317903575180239	0.00333391195650054	0.0110497307900984	0.00528954873286968	0.00285957102202122	0.00217952733293828	0.00209695635061476	0.00257236188058649	0.0037627323792869	0.00169371159448948	0.00138928239589453	0.00414553258929718	0.00172340591138732	0.0118624601119347	0.00203336655750606	0.00235709814783242	0.0041368838922966	0.00294715969587523	0.0047265682746016	0.000969874094177896	0	0.0014320555795868	0.00420585034138066	0.00423484210792114	0.00479277524273202	0.00692340374402084	0.00585264810602211	0.000469680139163205	0.00303954770937219	0.00578901996173799	0.00149798160518542	0.00450266545963252	0.0256231789118474	0.00224217293178741	0.00489135037235441	0.00188093867982705	0.00324102396770308	0.00445609230689425	0.00242858881304549	0	0
23. Repair and installation services of machinery and equipment	0.0121855165874561	0.00826629334186893	0.0547193327933157	0.0357157792202833	0.0154456540600604	0.00792305232309938	0.0389817060048113	0.0300726352421498	0.01383465710504	0.0311958966892419	0.0204961264253323	0.011574068349592	0.0173058857147689	0.0251835923785285	0.0362166853368711	0.030007002772751	0.00785179003987753	0.0255532471122403	0.0118621989538106	0.0219476943784854	0.0103890628517384	0.0151478156380382	1.04313872626209	0.0213807339508151	0.0288381529041361	0.0175355881662632	0.00838728010672003	0.0116036302241255	0.00843438507154829	0.00512752239911328	0.0207793866651415	0.053360848217334	0.0945417077410577	0.0143011003114555	0.014555884360218	0.00806625878459613	0.0131804264327166	0.00853136820079763	0.0219057445445907	0.00776175286103674	0.009043214299264	0.00686035996058864	0.0106265001728198	0.00223094933759561	0	0.0078132862584065	0.00756245555215833	0.00630650407899899	0.00606234521390513	0.0060451762398574	0.0223972666749774	0.00120590859281961	0.0174468074484054	0.00587673635898056	0.00685651317950978	0.00629485267576903	0.00709841502952327	0.0071560639996161	0.00766881311974125	0.0208054524273875	0.00460423630431165	0.00715394040586334	0.0047872952664398	0	0
24. Electricity, gas, steam and air conditioning	0.051640512728991	0.010245286843153	0.0392782055480332	0.107769550094877	0.0672012254197764	0.0414952519923601	0.0979076724442559	0.150401060412582	0.0582894743685787	0.147801728431863	0.109557425135437	0.0482667137685681	0.0739731271246154	0.233799419328185	0.158288927703724	0.0930558698297247	0.0382693675396708	0.0860918501641915	0.055048491535888	0.0798788575089567	0.0543769351083649	0.0683838989531179	0.0525982698141857	1.30242500453797	0.0597044491675385	0.0674732392320383	0.0459727742303316	0.0425198444871112	0.0397310672772268	0.0427415949351133	0.0782922954621819	0.129504745742998	0.164112443012514	0.0622378323775537	0.0441372050862887	0.0533444022663407	0.031934467153759	0.0331178598166493	0.0587614040189253	0.0276242497613791	0.0094623284828024	0.00943954514777848	0.0128136520458979	0.021391440256968	0	0.0262531836224332	0.031764280738024	0.025522795196319	0.0264751415031119	0.024663131998578	0.0268566501869302	0.0050573240530028	0.0494235559483939	0.0210560097624314	0.0294433671661303	0.0148788387570528	0.0248452832358613	0.0442054913763958	0.0272327608659764	0.0377219267033202	0.0221015568680549	0.0315859872014432	0.032797158541164	0	0
25. Natural water; water treatment and supply services	0.0147257936690119	0.000628051032496848	0.00504417297638095	0.00447526137583354	0.00844367276214328	0.00375457892000588	0.00408427423970871	0.0064078051416892	0.00453392236918046	0.0158644107025823	0.00778767418871141	0.00483906110371539	0.00563039369193094	0.00594873600234846	0.0150122098043088	0.00758133728642948	0.00371540104687611	0.00523493133278943	0.00955092634415419	0.00557451142420115	0.00429591150224316	0.00425856216073612	0.00442031000781663	0.00962526104883253	1.13986377395608	0.0836354117029539	0.00346369682314585	0.00346780609486083	0.00354761539718078	0.00441237278558912	0.00279438148605234	0.00352827431890219	0.00507392221958959	0.00312473009215194	0.00116385295282791	0.0079955379981976	0.0025314467107146	0.00287952853729605	0.00232390519968466	0.00232043049769832	0.00144578200679785	0.00104499276975396	0.00179051330675211	0.00340572332077366	0	0.00330066864553891	0.00322477708316132	0.00279104715562478	0.00256723720889566	0.00178048909658653	0.00248200328815695	0.00119272609652708	0.00548818276180156	0.00220190693467706	0.0029419365384074	0.00185302025083059	0.00310940228087976	0.00607247972448124	0.00353955356685698	0.00804116978213761	0.00414449513720804	0.00308071661637479	0.00483182368975332	0	0
"26. Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; 
remediation services and other waste management services "	0.00752325014635649	0.00166009388538952	0.00958405558992106	0.0240595122075431	0.0126719379393746	0.0101388648949944	0.0176757593595516	0.0423393142897095	0.0197722292394326	0.0239973822569576	0.0357837239104438	0.0150944235272145	0.0358237023399008	0.0364216021756411	0.178913897976815	0.0747727093981253	0.0190421077132549	0.0441317821390623	0.0386219199758097	0.0409659684028171	0.0267015797132468	0.0223910652106075	0.024092249661871	0.0176615705976199	0.0222540547981179	1.30720096231824	0.0189678582690928	0.0107538384478324	0.00940967943240815	0.00486141204442747	0.00861596585751369	0.0139766496213385	0.0170473806834042	0.00833816115207478	0.00285565042076927	0.00701219721552586	0.00969105458805774	0.0102649918680836	0.00871915152155914	0.00869088647150194	0.00237992093174255	0.00229435249432743	0.00302487619115598	0.00495260619935271	0	0.01001883311025	0.0133093692285087	0.00909522864977585	0.00806130466718236	0.00537282733112392	0.00895981409521453	0.00166602028011413	0.00727383636475664	0.00570525765736651	0.00286814364314097	0.00196536575095165	0.00453696834226809	0.0157603092264041	0.00670183431729439	0.00653649641788635	0.00500355380505677	0.00676923073342438	0.00413067612372761	0	0
27. Constructions and construction works	0.0193279141337866	0.0041590331620989	0.0112084332244276	0.0342671039277413	0.0228034348635456	0.0167414997341435	0.0145643982398671	0.02035254933797	0.0261828148044318	0.0303327224499598	0.0262604539624234	0.0186186101971017	0.0270804874702829	0.034777049909082	0.0228318274676169	0.0198340475851111	0.0238250954658137	0.0172345304242989	0.020067530961206	0.0170931121812194	0.024106348642724	0.0188679462109413	0.0345394791128302	0.0299733075688303	0.022008111742852	0.0209871323626334	1.20894899563832	0.0173210176808918	0.0204224513416282	0.020763376028082	0.0300154369513233	0.0299202694958149	0.0293438580168915	0.0324894599382828	0.0204052597032187	0.0185247430506527	0.0115525027187566	0.0196215000247965	0.0260631807746733	0.0244967659324073	0.0102292595202174	0.0108656338404233	0.0109753542991485	0.0332578449197811	0	0.0119637636977065	0.0221900033941777	0.0107268079797982	0.0144340481254722	0.0120040245577715	0.0336368492322542	0.00358523283863466	0.018056339689199	0.0143497702569082	0.0133369570782617	0.0119686051471133	0.00742573238694308	0.0182074323500013	0.0132845630970224	0.0135011135231573	0.00829358987299851	0.00947855629935348	0.0130462919580556	0	0
28. Wholesale and retail trade and repair services of motor vehicles and motorcycles	0.0198634313766094	0.0293055746406203	0.00447461111111293	0.0131410625723622	0.00975891736658476	0.00371279802803227	0.00759817079460987	0.00672886082180139	0.00420349821062142	0.011162620311901	0.00552106914097019	0.0056273103307273	0.00738159841677627	0.00737649981007877	0.00994886721879998	0.00588521327046926	0.00443428592679328	0.0115977648507515	0.00879016570261512	0.00634358912864786	0.00590651934593496	0.0044934827544749	0.00775627323204065	0.00557894107837988	0.0124062323163294	0.0197932370140721	0.00378908113272504	1.01429103981674	0.00655192542852985	0.00236545797328142	0.0231158034163696	0.00451326632519453	0.00613279255768536	0.00576463118716707	0.00632069697901923	0.00430230789274886	0.00274449457391992	0.00275423672406285	0.00249124108830824	0.00305124941445733	0.00170176109695199	0.00362108172956099	0.00869566809956469	0.00100470513951235	0	0.00390321686018996	0.00469226185585923	0.0032065795331574	0.00240537796694139	0.00324256714326159	0.00794718389047947	0.000509447142154349	0.00404272846801404	0.00243828458109293	0.00285565387787748	0.00150642605814001	0.00224392996711746	0.00156121586988416	0.00397644971202054	0.00402270042220775	0.00149636050496607	0.00233789541060694	0.00148165926863201	0	0
29. Wholesale trade services, except of motor vehicles and motorcycles	0.0861614992950058	0.0705794024605169	0.0595511833198171	0.0651256093511933	0.133112308662049	0.0919189302722437	0.160206223024605	0.11653305002196	0.0805727052227992	0.0630821531938385	0.163943666939766	0.115944892178693	0.126869684872647	0.104976886423687	0.131800613146528	0.125121056561554	0.111504555047698	0.138318336189777	0.129233731189543	0.158765698498994	0.145884252081474	0.123129390477417	0.0759723464645606	0.0632289026402775	0.0610341923398554	0.050023257456634	0.0731084142957989	0.0462386953436107	1.07135697430788	0.0231044927370085	0.0298578369721209	0.0296838120824747	0.0589427843674661	0.0277662271415951	0.0107722399307558	0.0649926439243931	0.0508095738045431	0.0700415212077757	0.0288191063166185	0.0261259401713917	0.0110030481200493	0.00998684631207162	0.0142197294276778	0.00705486338614662	0	0.0109469728769127	0.0687917898942677	0.0302422760099421	0.0327775979154104	0.0198505212508541	0.0277898327119533	0.00364258600333699	0.0405157439396042	0.0178688323099637	0.0140111832904653	0.0113089439003498	0.0463646421753906	0.0220836494433622	0.0176379625719688	0.0183553427223556	0.0195917985801037	0.0358856515002156	0.0165724485793821	0	0
30. Retail trade services, except of motor vehicles and motorcycles	0.0663905122258851	0.00528164845908397	0.0419004807817811	0.0343134385881388	0.111201731136667	0.0676146307978315	0.0418877427250914	0.0549116717136443	0.0426276619168951	0.032858482181895	0.0900019594053641	0.0661179382512222	0.0907719354916889	0.0526076585169367	0.068828570967425	0.0724311056090373	0.0945603271423686	0.0961432694327919	0.0642378232195243	0.110718116832482	0.0535872439140549	0.0665776551646442	0.0402187651295982	0.0360681398943566	0.0342550028189638	0.0276178821967515	0.0470486597507396	0.0327285439734091	0.0179834385460538	1.00889266117769	0.0194062841928846	0.0177372609841506	0.0339347793557519	0.0153099346663384	0.00744834577641607	0.0531195102800553	0.0225545314180864	0.0553690622079183	0.021335476340107	0.0184419886837304	0.00779584727153448	0.00698759875946747	0.00966335162623549	0.0044972504125827	0	0.00751743649917276	0.0376983774570456	0.0199572790572316	0.0230435514619637	0.0140619853560982	0.018711905278965	0.00253439349472664	0.0308573880175581	0.0128915647418076	0.0093805777592766	0.00831325034917957	0.0322850564499199	0.0158555780538614	0.0132486106465713	0.0129445580046368	0.0145243906468567	0.0279720317917531	0.0118386862668433	0	0
31. Land transport services and transport services via pipelines	0.0251770692162184	0.0168818952187419	0.0306407599209462	0.103001294061485	0.0576564030618437	0.0336133442110575	0.0905410352018406	0.0817911101445585	0.0406462749987854	0.101028934129436	0.0726419429637633	0.0357830457538874	0.0641732971535255	0.0893364966471126	0.0793760022793167	0.058393790270795	0.0398758439183236	0.0597507476004683	0.0534763771790494	0.0590845856345254	0.0414969826809559	0.0605739006270613	0.037551872873338	0.0444974270692697	0.0233237129885649	0.0422398846694428	0.0295978895434103	0.0346177670969901	0.0632178629277465	0.0219817235078023	1.13111621430143	0.0637936447515564	0.0600098903891416	0.190872540314636	0.0273994854849968	0.0216782703541013	0.0584468163610031	0.0260426453119678	0.0146561829504688	0.0177246950552386	0.00662004869888785	0.00687495408015806	0.00913047637758701	0.00654594985015175	0	0.00829288693730707	0.0277704870743213	0.015148759856677	0.0197168809481263	0.0131312536474199	0.0370649646878442	0.00318765433816783	0.0639214914125696	0.0107902468470429	0.0310648134208544	0.00638694281427506	0.0115160479463525	0.00951910447306576	0.0101512885593936	0.0129815446776915	0.0226983804383875	0.0210409580743194	0.0107201918556669	0	0
32. Water transport services	0.000306843935684918	0.000264810232168368	0.028132545918306	0.00173041758341829	0.000740351754056656	0.000564936189323093	0.00106925102736691	0.00103719376595175	0.000568165155154109	0.00181858911852296	0.00103693652232967	0.00058469204051013	0.000854454876245528	0.00094306918794535	0.00126072622965384	0.000881994325794653	0.000632344215965115	0.000910075759896831	0.00077198785631897	0.00107589443427695	0.000786075678674679	0.000698515207870292	0.000533941879871057	0.000671267703537888	0.000433591446928648	0.0013740279939383	0.000462484077880267	0.000492325319234781	0.000735078759670477	0.000259802240394735	0.000513579949180418	1.00271108355032	0.00076662968686654	0.000797156984636918	0.000474107866246131	0.000310383630255226	0.000833623962277751	0.000697186659624878	0.000229703340340083	0.000323476564784375	0.00010605485946337	0.000146505771832479	0.000186330109509465	0.0000901774993507689	0	0.000165612011539904	0.000390278828898669	0.000348755213455189	0.000346016428294447	0.00042062554522598	0.000536628718352828	0.000200263958132361	0.00968250207189466	0.00016763449695484	0.000424074813461036	0.00019279424295222	0.000223028694399884	0.000250478029552841	0.000400142422541739	0.000403837806720604	0.000199345649800717	0.000471978243195585	0.0001590795451451	0	0
33. Air transport services	0.000794550166807304	0.000390848129068144	0.00376433610445233	0.00248386761052041	0.00123812491121767	0.00102470942856968	0.00179030491934204	0.00168587195784585	0.00133363042345912	0.00265421153274038	0.0022568902610941	0.0016929724794104	0.00185083549342333	0.00171966554422735	0.00188380692660334	0.00173545559968534	0.00161362569093095	0.00185166447077278	0.00144637372995234	0.00163034805189309	0.00175447594245056	0.00148540405099975	0.00139595208064963	0.00119833554079754	0.00105261526749483	0.00185750599493885	0.00136973796464642	0.00113106189808369	0.00226003801422422	0.00112231188077581	0.0011095105497618	0.00178871522031344	1.00257662693339	0.00169303472271694	0.00181355187577836	0.000767425156601264	0.0029729836648641	0.00143054982414125	0.000797233092452492	0.00241343107585767	0.00596764562747544	0.00759398571725683	0.00495865968565522	0.000472917819428894	0	0.00143506481003034	0.00219895427063875	0.00234007558785412	0.00241751153371051	0.002130453537218	0.00290009765004997	0.000793164345393414	0.0806263294596266	0.00141710124724028	0.00152382396463827	0.000584219156946666	0.000835578929761568	0.000787055896736284	0.00150479790142359	0.0013161832994892	0.0154814552016282	0.00141565322471493	0.000541052019520318	0	0
34. Warehousing and support services for transportation	0.0285148258682233	0.0124353707679305	0.0511714078726936	0.0808125606984644	0.0551923707690301	0.0352361433241233	0.0826492660394274	0.0796016467351928	0.0485820674351734	0.105650651315385	0.0944534107521383	0.0463450785398002	0.0665405210084509	0.0796261184015932	0.0877651059727461	0.0633236902347852	0.0444257277487041	0.0687091545074752	0.0563997777467099	0.0669040311692317	0.0461679585093333	0.0559701911164298	0.104783193073536	0.116656368880488	0.034100764477776	0.042094131093187	0.0296390054452767	0.0656557275203515	0.0960579326302696	0.0362419109736613	0.195509356909689	0.249223725044391	0.222231934910281	1.28501525542225	0.0541972257302411	0.0251843957059548	0.0424211585810175	0.0307006593409864	0.0218353823709966	0.022992486838492	0.00821040502869417	0.00860099101055497	0.0113741825131884	0.021636859536229	0	0.0120613580187552	0.0316356856603078	0.0201116020693654	0.0249565833607713	0.0178882236842489	0.0399250990079321	0.00491176196967159	0.0451155244534062	0.0126075373902703	0.0201958015997078	0.00625665906319717	0.0135816502523281	0.0116985853721798	0.0138912487275475	0.0172933915832339	0.0135448617416169	0.0295736302409564	0.0131829034917679	0	0
35. Postal and courier services	0.00204884546884151	0.00072228413619046	0.00222520363083238	0.00385150850635631	0.00346984013838152	0.00286752449389056	0.0036131402485736	0.00411399583617909	0.00388500078480906	0.00487773903052949	0.00500096717332695	0.00664259989660638	0.00539180411290582	0.00469651742460058	0.00390297459673847	0.00492578946248575	0.00302253031485647	0.00398568604427295	0.00505616312617806	0.00455559262060833	0.00469982894513056	0.00371554114698687	0.00327673314579034	0.00572254270368638	0.00544091193997099	0.0058830248498044	0.0077583789277014	0.00278153428588086	0.00692432862963015	0.00517995973347713	0.00287644825267664	0.00463821264111407	0.00537803834050549	0.00535214853263668	1.49374230617657	0.00419950755875171	0.00646661730942082	0.00398591518890032	0.0205407852518971	0.0221277195315739	0.00497950974839341	0.00688848687255443	0.00672315251790607	0.00576856170117044	0	0.00962711824643943	0.0118006024873603	0.00523565048301864	0.0116613825300729	0.0100367665376126	0.00730903850293763	0.00509892485544113	0.00446917374464308	0.00607234195100787	0.00512952507458454	0.00286107309249527	0.00295942078954933	0.00458314249827881	0.00209212400301629	0.00209710162430774	0.00181799707125128	0.00382262255318403	0.00224867902915298	0	0
36. Accommodation and food services	0.0022233095010058	0.000870093734998881	0.00558114675598906	0.00465556053227723	0.00336483261391527	0.00268297654257042	0.00427988069771611	0.00373590443548334	0.00430544593934999	0.00521805906331105	0.00747963059206112	0.00454283906700885	0.00549493697056901	0.00423035691521083	0.00512359083113137	0.00507647835790133	0.00582992357105239	0.00425173282592645	0.0047057110216219	0.00510055819349408	0.00766464006459257	0.00397590136683596	0.00420683623159106	0.00355873792464396	0.00372039940314041	0.00901961356318769	0.00873267508409853	0.00467023760627686	0.00566481321077332	0.00331405679512726	0.0101095965417804	0.00686264625620744	0.0113583488098299	0.0051986686448926	0.00402506378811729	1.00905683724229	0.0114356248926807	0.00947972386353164	0.00355873257781999	0.0398712810681453	0.0130839605186389	0.0119964980661562	0.0142461102492667	0.00302762413339301	0	0.0103757522730536	0.0195150470365671	0.00908395475621749	0.0113374526681005	0.00687952364806647	0.0112283240377787	0.00283323229984032	0.454299016419555	0.00477664931796552	0.00739416754717719	0.00407694059662573	0.00833453280158053	0.00728080941791858	0.00700351661945806	0.00625536733264023	0.075665063139834	0.00729966995067776	0.00251176740261655	0	0
37. Publishing services	0.00139139276173455	0.000549678830383041	0.00127027341779334	0.00171041445650721	0.00297650503638207	0.00141363443519243	0.00175345325363216	0.00155853359672455	0.028775799889014	0.00180796860865155	0.00312547652879864	0.00383345749798794	0.00174226009944188	0.00176367575275241	0.00172554603042674	0.00175780209205364	0.00186879770611222	0.002015637228674	0.00191231689392446	0.002394949103734	0.00299177972176066	0.00203417541317643	0.00181438247656442	0.00146820345829884	0.00144047961875969	0.00154404559034889	0.00213902969605723	0.003470752318675	0.00402274221716188	0.00213199444391549	0.00131135641278567	0.00198399077728943	0.00297249084198552	0.00187511106513049	0.000799345240074452	0.00162658337874567	1.11220543689595	0.0125784392791361	0.00272570239207581	0.00790032256934209	0.0115316242275398	0.00843703165855842	0.0133697906764073	0.00121394656052217	0	0.00198654088112823	0.0154759912639172	0.00194331188563862	0.00915698712408746	0.00129340826990098	0.00130403360221098	0.000747739870962405	0.00411440802132223	0.00294949245015618	0.00509776682518393	0.01276976213156	0.00318583764201943	0.00220705302491599	0.00211192701668545	0.00301958737832339	0.0148311816408002	0.00136093528181892	0.00102595823611911	0	0
"38. Motion picture, video and television programme production services, sound recording and music publishing;
 programming and broadcasting services"	0.00260440106026341	0.000982840185537633	0.00161968110966249	0.00183771648433826	0.00747563483240916	0.00256873688609844	0.00279036817691653	0.00248627209383395	0.0549291130240856	0.00188852254452891	0.00706342271352066	0.00917529010386946	0.00315302050920032	0.00281262671360612	0.00263796106258482	0.00260509821686862	0.00271068573500449	0.00339803953755591	0.00293546456501301	0.00537864150823367	0.0028825686244106	0.00334223728557401	0.00267629019403854	0.00235696632219755	0.0020215874734592	0.00203134736757169	0.00192465620244526	0.00885952423575728	0.00984411366648619	0.00454674258116785	0.00129520379380547	0.00195781891506396	0.0031272095808411	0.00140006613438757	0.000652044794833998	0.0032884571737536	0.00542382370967493	1.1425479599355	0.00535157211928548	0.00702301548780119	0.00148357505233688	0.00176447002534902	0.00212557006267598	0.00158852256672369	0	0.00410096057162864	0.00366393120379622	0.00252479257345544	0.0239603300371286	0.00136433343757693	0.00170198176097326	0.000248505610261806	0.00950182908073503	0.00235003771362084	0.000970144246040104	0.00229731022293995	0.00149614263920246	0.00106705844972607	0.00197819482254003	0.00183850517084503	0.00114670898828774	0.00186978905927349	0.00110257554377213	0	0
39. Telecommunications services	0.00705879124526398	0.0020998261400883	0.0115567510002071	0.0283253154099892	0.0127291327445567	0.0104618222515779	0.014279405188371	0.0142541779717097	0.0139237871169792	0.0279593516202323	0.0250979577181727	0.0235062035976066	0.0163897347199888	0.0218777372157743	0.0200564941454704	0.0149120643678312	0.00839909626331297	0.0168624704535148	0.0184034197902404	0.015017844805508	0.0141041757611729	0.0146965505407346	0.0117661905007619	0.0349872006764405	0.0163332698897609	0.031545094189731	0.0224387461674229	0.0139813415257385	0.0125233667908375	0.0126443281721992	0.0140274696305301	0.0179912504757895	0.0632342520507212	0.0149984554275306	0.0280577486660524	0.015395110555564	0.0324994160305497	0.0478203169903299	1.17611262615757	0.0220255924093102	0.0147803725280954	0.0181860221566671	0.0285340717032886	0.0123062532832293	0	0.0188858248196272	0.018690354522746	0.0128921773992972	0.026928069916334	0.0156822354550326	0.0128580892543038	0.00668957308868418	0.0436151487689955	0.0108490665555035	0.0228121390110674	0.00458787363610108	0.00956057822404772	0.0262187301414418	0.00870344818003325	0.0110984058990647	0.0265447893377426	0.0223390680230526	0.00665629653209208	0	0
40. Computer programming, consultancy and related services; information services	0.0016730783276878	0.000721138991933564	0.00422052704714695	0.00367402137629972	0.00292580866304205	0.00265335971052625	0.00317033203231409	0.0030611506609274	0.004868358918779	0.00379093129364382	0.00383461064810211	0.00347390751998248	0.00326507877119633	0.00359237758197751	0.00297184446060038	0.0031421056745467	0.00235009129943794	0.00398167537709508	0.00348914529330785	0.00320351327542838	0.00421265857216036	0.00343248234940211	0.00287153069490306	0.00262518465616508	0.00294472598970062	0.00342119906448688	0.00309086461291057	0.00298551890887149	0.00461457009669733	0.0026063273542253	0.00620055584639972	0.0557445903801835	0.00507083133592347	0.00377892163898854	0.00287153243014746	0.00220526856746739	0.00575055243151131	0.00629171915650775	0.00458006378663157	1.15891623520682	0.0168609641668262	0.00996160611255189	0.0147706129621052	0.00309795211215164	0	0.008068177171448	0.00386512665953506	0.00705929519845219	0.00422860136769716	0.00320158972711651	0.0019871326647021	0.00122749037335475	0.0137638716890697	0.0027429530661697	0.00850499596284957	0.00151982412004348	0.00282582363974805	0.00490893718805035	0.00519325669260829	0.00398085992681904	0.00227905643855267	0.0138875182254355	0.00183332217894186	0	0
41. Financial services, except insurance and pension funding	0.02532809175213	0.0154452878575385	0.0197950194404808	0.0223155512255991	0.0273251906735739	0.0201661168116645	0.0268444559653925	0.0246778105816873	0.0231378911902723	0.0283572159067376	0.0261655291660945	0.0211504514300169	0.0239822793696478	0.0243843110033456	0.0263904572218024	0.0249093664621285	0.0229883430246076	0.026512229627881	0.0240694325587707	0.0290275519108003	0.0277370976794753	0.0229785249806879	0.0201841089217792	0.0222317122114283	0.0196842084514535	0.0194069301333801	0.0234393071352647	0.0207358933332454	0.0209930541076319	0.01813472634731	0.0194212164894052	0.0248954020802351	0.0272060574793294	0.017809348174889	0.0178499078511392	0.0189870514041258	0.0225822938891567	0.0198583879879823	0.019117402633303	0.0275400520417037	1.11935888371266	0.114138550735472	0.0274065725317231	0.00994811717304427	0	0.0240007431513363	0.0235594398130293	0.0115106166153713	0.0199340848641634	0.0140204607819826	0.0176923139971329	0.0103849638430312	0.0477790650345199	0.0138819890865982	0.0360033006326151	0.00954100024493596	0.0143333134078357	0.0205059903698554	0.0161623647046478	0.0176290771049598	0.0257939413124095	0.0174439615777988	0.0109747579060637	0	0
42. Insurance, reinsurance and pension funding services, except compulsory social security	0.0139315418777498	0.00108843566028013	0.00918405201043537	0.00668528769722212	0.00794028267711695	0.00429699853459273	0.0080050136206366	0.00561948681358425	0.00616199350950654	0.00621749541643581	0.00574554882518174	0.00383544396183278	0.00574540408220736	0.00618565411258801	0.00560290943591785	0.0057553076088746	0.0047500587009207	0.00543942994181103	0.0050930918573467	0.00488342607593162	0.00497958795815488	0.00555379529053477	0.00444620765888725	0.00486695547859036	0.00497290016391483	0.00470008700895629	0.0034461736709847	0.00562631574338653	0.00643419379823809	0.0043395273483766	0.00905782941613559	0.0117337721323206	0.00586147927058946	0.00565067476149141	0.00408916109117459	0.00390780007976904	0.00335611348537875	0.00390119640647679	0.00271375889197349	0.00293109694195529	0.0015527304747263	1.10767060601695	0.00400607224528929	0.00975038934159424	0	0.0054278212296177	0.00636643385154437	0.00236363467240084	0.00356567859180011	0.00303069896889073	0.0106092025323579	0.00133288159490232	0.00426630635466719	0.00381702278665089	0.00227188715254176	0.0010637619579837	0.00191764787347693	0.00233552904942223	0.00291392057292192	0.00430115249416411	0.00173757207783851	0.00500366700960843	0.00322525716732204	0	0
